,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,---,---,---,---,---,Calculo_II (Calculo_II_A) [r_virtual]
8:00 - 9:00,Sist_Organizacionales (Sist_Organizacionales_A) [salon_6],---,---,Sist_Organizacionales (Sist_Organizacionales_A) [salon_6],---,Calculo_II (Calculo_II_A) [r_virtual]
9:00 - 10:00,Sist_Organizacionales (Sist_Organizacionales_A) [salon_6],---,---,Sist_Organizacionales (Sist_Organizacionales_A) [salon_6],IA_Aplicada (IA_Aplicada_A) [salon_12],---
10:00 - 11:00,---,---,---,Sist_Organizacionales (Sist_Organizacionales_A) [salon_6],IA_Aplicada (IA_Aplicada_A) [salon_12],---
11:00 - 12:00,---,---,---,---,---,---
12:00 - 13:00,---,---,---,---,---,---
13:00 - 14:00,---,---,Intro_Programacion (Intro_Programacion_A) [salon_1],---,---,---
14:00 - 15:00,---,---,Intro_Programacion (Intro_Programacion_A) [salon_1],---,---,---
15:00 - 16:00,Estr_Discretas (Estr_Discretas_A) [salon_6],Calculo_II (Calculo_II_A) [salon_7],Intro_Programacion (Intro_Programacion_A) [salon_1],---,Estr_Discretas (Estr_Discretas_A) [salon_6],---
16:00 - 17:00,Fisica_Sistemas (Fisica_Sistemas_A) [salon_9] | Estr_Discretas (Estr_Discretas_A) [salon_6],Calculo_II (Calculo_II_A) [salon_7],---,---,Estr_Discretas (Estr_Discretas_A) [salon_6],Sist_Organizacionales (Sist_Organizacionales_A) [r_virtual]
17:00 - 18:00,Fisica_Sistemas (Fisica_Sistemas_A) [salon_9] | Estr_Discretas (Estr_Discretas_A) [salon_6],Calculo_II (Calculo_II_A) [salon_7],---,---,---,Sist_Organizacionales (Sist_Organizacionales_A) [r_virtual]
18:00 - 19:00,Fisica_Sistemas (Fisica_Sistemas_A) [salon_9] | Intro_Programacion (Intro_Programacion_A) [salon_1],---,Estr_Discretas (Estr_Discretas_A) [salon_1],---,---,---
19:00 - 20:00,IA_Aplicada (IA_Aplicada_A) [salon_12] | Intro_Programacion (Intro_Programacion_A) [salon_1],---,IA_Aplicada (IA_Aplicada_A) [salon_12] | Fisica_Sistemas (Fisica_Sistemas_A) [salon_9] | Estr_Discretas (Estr_Discretas_A) [salon_1],Calculo_II (Calculo_II_A) [salon_7],Intro_Programacion (Intro_Programacion_A) [salon_6],---
20:00 - 21:00,IA_Aplicada (IA_Aplicada_A) [salon_12],---,IA_Aplicada (IA_Aplicada_A) [salon_12] | Fisica_Sistemas (Fisica_Sistemas_A) [salon_9] | Estr_Discretas (Estr_Discretas_A) [salon_1],Calculo_II (Calculo_II_A) [salon_7],Intro_Programacion (Intro_Programacion_A) [salon_6],---
